distance:52, material: 6, angle: 34
distance:321, material: 2, angle: 34
distance:364, material: 2, angle: 34
distance:75, material: 6, angle: 16
distance:529, material: 2, angle: 34
distance:61, material: 6, angle: 23
distance:814, material: 2, angle: 34
distance:107, material: 6, angle: 16
distance:547, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:70, material: 6, angle: 20
distance:425, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:121, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:66, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:953, material: 2, angle: 34
distance:134, material: 6, angle: 34
distance:380, material: 2, angle: 34
distance:91, material: 0, angle: 56
distance:89, material: 0, angle: 60
distance:79, material: 6, angle: 34
distance:498, material: 2, angle: 34
distance:500, material: 2, angle: 34
distance:303, material: 2, angle: 34
distance:52, material: 6, angle: 34
distance:724, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:39, material: 6, angle: 49
distance:68, material: 6, angle: 34
distance:117, material: 6, angle: 36
distance:1023, material: 0, angle: 0
distance:47, material: 5, angle: 52
distance:56, material: 6, angle: 34
distance:69, material: 6, angle: 27
distance:1023, material: 0, angle: 0
distance:647, material: 2, angle: 34
distance:43, material: 6, angle: 49
distance:38, material: 0, angle: 34
distance:45, material: 6, angle: 34
distance:50, material: 5, angle: 12
distance:80, material: 6, angle: 34
distance:54, material: 6, angle: 34
distance:64, material: 6, angle: 27
distance:47, material: 5, angle: 34
distance:1023, material: 0, angle: 0
distance:308, material: 2, angle: 34
distance:72, material: 6, angle: 49
distance:144, material: 6, angle: 34
distance:46, material: 5, angle: 34
distance:415, material: 2, angle: 34
distance:554, material: 2, angle: 34
distance:94, material: 0, angle: 38
distance:44, material: 6, angle: 34
distance:885, material: 2, angle: 34
distance:664, material: 2, angle: 34
distance:57, material: 6, angle: 34
distance:60, material: 6, angle: 16
distance:1023, material: 0, angle: 0
distance:57, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:70, material: 6, angle: 30
distance:71, material: 6, angle: 34
distance:333, material: 2, angle: 34
distance:105, material: 6, angle: 34
distance:39, material: 6, angle: 34
distance:69, material: 6, angle: 49
distance:93, material: 0, angle: 38
distance:55, material: 6, angle: 34
distance:154, material: 6, angle: 41
distance:48, material: 6, angle: 34
distance:82, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:78, material: 6, angle: 34
distance:443, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:74, material: 6, angle: 50
distance:46, material: 5, angle: 34
distance:70, material: 6, angle: 34
distance:56, material: 6, angle: 56
distance:49, material: 0, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:106, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:57, material: 6, angle: 0
distance:430, material: 2, angle: 34
distance:117, material: 0, angle: 38
distance:462, material: 2, angle: 34
distance:696, material: 2, angle: 34
distance:526, material: 2, angle: 34
distance:121, material: 6, angle: 34
distance:498, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:148, material: 6, angle: 41
distance:49, material: 6, angle: 49
distance:42, material: 6, angle: 34
distance:46, material: 6, angle: 34
distance:650, material: 2, angle: 34
distance:68, material: 6, angle: 16
distance:1023, material: 0, angle: 0
distance:78, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:39, material: 0, angle: 34
distance:66, material: 6, angle: 34
distance:72, material: 6, angle: 34
distance:343, material: 2, angle: 34
distance:57, material: 6, angle: 34
distance:435, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:50, material: 6, angle: 34
distance:50, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:66, material: 6, angle: 28
distance:333, material: 2, angle: 34
distance:739, material: 2, angle: 34
distance:663, material: 2, angle: 34
distance:65, material: 6, angle: 28
distance:760, material: 2, angle: 34
distance:81, material: 6, angle: 49
distance:1023, material: 0, angle: 0
distance:87, material: 0, angle: 33
distance:114, material: 6, angle: 34
distance:58, material: 6, angle: 34
distance:87, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:109, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:107, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:87, material: 6, angle: 30
distance:577, material: 2, angle: 34
distance:69, material: 6, angle: 0
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:395, material: 2, angle: 34
distance:113, material: 6, angle: 34
distance:716, material: 2, angle: 34
distance:831, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:91, material: 0, angle: 16
distance:143, material: 6, angle: 34
distance:62, material: 6, angle: 34
distance:400, material: 2, angle: 34
distance:125, material: 6, angle: 34
distance:75, material: 6, angle: 45
distance:83, material: 0, angle: 16
distance:482, material: 2, angle: 34
distance:379, material: 2, angle: 34
distance:51, material: 6, angle: 34
distance:65, material: 6, angle: 34
distance:59, material: 6, angle: 34
distance:82, material: 6, angle: 34
distance:58, material: 6, angle: 34
distance:936, material: 2, angle: 34
distance:68, material: 6, angle: 27
distance:55, material: 6, angle: 34
distance:495, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:497, material: 2, angle: 34
distance:57, material: 6, angle: 34
distance:65, material: 6, angle: 34
distance:86, material: 6, angle: 49
distance:938, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:91, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:438, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:405, material: 2, angle: 34
distance:71, material: 6, angle: 56
distance:1023, material: 0, angle: 0
distance:42, material: 6, angle: 34
distance:73, material: 6, angle: 34
distance:43, material: 6, angle: 59
distance:1023, material: 0, angle: 0
distance:71, material: 6, angle: 34
distance:84, material: 6, angle: 34
distance:43, material: 6, angle: 34
distance:392, material: 2, angle: 34
distance:630, material: 2, angle: 34
distance:126, material: 6, angle: 34
distance:47, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:72, material: 6, angle: 34
distance:603, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:357, material: 2, angle: 34
distance:61, material: 6, angle: 34
distance:75, material: 0, angle: 60
distance:414, material: 2, angle: 34
distance:69, material: 6, angle: 34
distance:76, material: 6, angle: 34
distance:588, material: 2, angle: 34
distance:42, material: 6, angle: 34
distance:485, material: 2, angle: 34
distance:68, material: 6, angle: 45
distance:79, material: 6, angle: 34
distance:403, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:511, material: 2, angle: 34
distance:112, material: 6, angle: 36
distance:801, material: 2, angle: 34
distance:104, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:53, material: 6, angle: 34
distance:117, material: 0, angle: 38
distance:47, material: 5, angle: 50
distance:41, material: 6, angle: 34
distance:831, material: 2, angle: 34
distance:457, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:71, material: 6, angle: 16
distance:485, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:131, material: 6, angle: 34
distance:70, material: 6, angle: 34
distance:62, material: 6, angle: 34
distance:65, material: 6, angle: 56
distance:490, material: 2, angle: 34
distance:333, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:54, material: 6, angle: 34
distance:86, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:67, material: 6, angle: 34
distance:559, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:356, material: 2, angle: 34
distance:75, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:843, material: 2, angle: 34
distance:996, material: 2, angle: 34
distance:70, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:37, material: 6, angle: 37
distance:84, material: 6, angle: 34
distance:88, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:76, material: 6, angle: 34
distance:126, material: 6, angle: 34
distance:413, material: 2, angle: 34
distance:75, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:766, material: 2, angle: 34
distance:766, material: 2, angle: 34
distance:56, material: 6, angle: 34
distance:428, material: 2, angle: 34
distance:511, material: 2, angle: 34
distance:912, material: 2, angle: 34
distance:362, material: 2, angle: 34
distance:63, material: 6, angle: 34
distance:81, material: 6, angle: 16
distance:595, material: 2, angle: 34
distance:86, material: 6, angle: 34
distance:79, material: 6, angle: 49
distance:100, material: 6, angle: 49
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:38, material: 6, angle: 23
distance:417, material: 2, angle: 34
distance:65, material: 6, angle: 34
distance:78, material: 0, angle: 16
distance:110, material: 6, angle: 34
distance:67, material: 6, angle: 34
distance:46, material: 7, angle: 58
distance:85, material: 6, angle: 34
distance:43, material: 6, angle: 34
distance:1009, material: 2, angle: 34
distance:68, material: 6, angle: 34
distance:79, material: 6, angle: 34
distance:85, material: 0, angle: 33
distance:385, material: 2, angle: 34
distance:141, material: 6, angle: 34
distance:87, material: 0, angle: 33
distance:78, material: 6, angle: 0
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:513, material: 2, angle: 34
distance:102, material: 6, angle: 34
distance:50, material: 6, angle: 34
distance:41, material: 6, angle: 34
distance:57, material: 6, angle: 34
distance:599, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:117, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:343, material: 2, angle: 34
distance:76, material: 6, angle: 34
distance:764, material: 2, angle: 34
distance:48, material: 6, angle: 34
distance:780, material: 2, angle: 34
distance:102, material: 6, angle: 31
distance:52, material: 6, angle: 34
distance:64, material: 6, angle: 34
distance:64, material: 6, angle: 34
distance:74, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:66, material: 6, angle: 0
distance:437, material: 2, angle: 34
distance:66, material: 6, angle: 34
distance:79, material: 6, angle: 34
distance:68, material: 6, angle: 34
distance:66, material: 6, angle: 34
distance:306, material: 2, angle: 34
distance:53, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:40, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:135, material: 6, angle: 34
distance:49, material: 6, angle: 34
distance:79, material: 6, angle: 16
distance:1023, material: 0, angle: 0
distance:61, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:72, material: 6, angle: 34
distance:319, material: 2, angle: 34
distance:73, material: 6, angle: 45
distance:1023, material: 0, angle: 0
distance:60, material: 6, angle: 34
distance:65, material: 6, angle: 23
distance:49, material: 6, angle: 34
distance:399, material: 2, angle: 34
distance:78, material: 6, angle: 34
distance:47, material: 6, angle: 34
distance:46, material: 5, angle: 34
distance:1023, material: 0, angle: 0
distance:68, material: 6, angle: 46
distance:75, material: 6, angle: 16
distance:781, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:47, material: 0, angle: 23
distance:1023, material: 0, angle: 0
distance:622, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:359, material: 2, angle: 34
distance:58, material: 6, angle: 34
distance:75, material: 0, angle: 16
distance:52, material: 6, angle: 34
distance:64, material: 6, angle: 34
distance:56, material: 6, angle: 34
distance:60, material: 6, angle: 34
distance:80, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:60, material: 6, angle: 34
distance:52, material: 6, angle: 34
distance:41, material: 6, angle: 49
distance:1023, material: 0, angle: 0
distance:86, material: 0, angle: 33
